161	Kansas	6 Shasta Road	Nikola	7	2	ping-pong	2018-08-25	http://cdn.home-designing.com/wp-content/uploads/2015/10/wood-paneling-apartment.jpg	0.3	22	1
287	California	74 Lerdahl Alley	Nicol	7	2	patio	2019-06-20	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	1.1	30	1
475	Florida	55 Gulseth Hill	Jill	6	2	garden	2018-12-23	http://1.bp.blogspot.com/-tZRkWmWSrCc/UZTE7b6_hBI/AAAAAAAADKY/mb6Yy8hGiSI/s1600/9.jpg	1.2	12	1
982	Texas	61013 Ryan Terrace	Concordia	7	4	ping-pong	2019-05-13	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	0.1	13	1
477	Massachusetts	04 Union Street	Cleve	6	3	ping-pong	2019-05-20	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	1.8	29	1
871	Alaska	0 La Follette Hill	Rhys	7	3	billiards	2019-02-13	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	1.7	20	1
580	California	2727 Maple Wood Avenue	Fannie	4	2	roof	2019-05-13	http://1.bp.blogspot.com/-tZRkWmWSrCc/UZTE7b6_hBI/AAAAAAAADKY/mb6Yy8hGiSI/s1600/9.jpg	1.3	7	1
102	Texas	3 Karstens Plaza	Misti	1	1	patio	2018-10-29	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	0.6	4	1
121	Texas	110 Gateway Center	Nicolina	6	1	roof	2018-08-25	https://homefieldbrewing.com/wp-content/uploads/2018/05/exposed-brick-chimney-breast-decorating-wall-inspiration-interior-in-master-splendids-with-walls.jpg	2.0	21	1
736	Texas	83 Crowley Avenue	Haven	6	1	parking	2019-02-14	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	1.4	23	1
809	North Carolina	10524 Messerschmidt Street	Teri	1	4	gym	2019-06-15	https://dp5zphk8udxg9.cloudfront.net/wp-content/uploads/2016/08/dreamstime_s_66458532.jpg	1.4	1	1
3	Arizona	3100 Main Alley	Etti	2	4	pool	2019-01-25	http://team300.club/wp-content/uploads/2017/09/ikea-apartment-living-room-ideas-studio-living-room-idea-with-brown-fur-rug-design-modern-studio-apartment-living-room-theater-fau.jpg	1.7	11	1
935	Tennessee	80 Sunnyside Point	Dorelle	2	2	billiards	2019-05-04	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	1.0	3	1
561	Texas	349 Karstens Terrace	Tabby	7	1	pool	2019-01-09	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	0.8	20	1
162	Texas	281 Tony Park	Skylar	6	1	garden	2018-08-27	http://team300.club/wp-content/uploads/2017/09/ikea-apartment-living-room-ideas-studio-living-room-idea-with-brown-fur-rug-design-modern-studio-apartment-living-room-theater-fau.jpg	0.7	8	1
990	Florida	49 Clarendon Alley	Amery	2	3	pool	2019-06-11	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	1.3	14	1
315	North Carolina	01256 Ruskin Street	Arly	4	2	terrace	2019-01-25	https://i.ytimg.com/vi/VYYKzTpWSAg/maxresdefault.jpg	1.0	13	1
767	New York	919 Arkansas Point	Sianna	5	4	patio	2019-06-25	https://i.ytimg.com/vi/VYYKzTpWSAg/maxresdefault.jpg	1.5	24	1
124	New York	5 Harbort Alley	Karoly	4	2	ping-pong	2019-05-29	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	1.6	23	1
909	Tennessee	869 Bultman Alley	Kingston	4	2	garden	2019-06-09	http://1.bp.blogspot.com/-tZRkWmWSrCc/UZTE7b6_hBI/AAAAAAAADKY/mb6Yy8hGiSI/s1600/9.jpg	0.6	20	1
32	Idaho	05963 Hooker Trail	May	6	4	roof	2018-07-24	https://dp5zphk8udxg9.cloudfront.net/wp-content/uploads/2016/08/dreamstime_s_66458532.jpg	1.4	15	1
105	Kentucky	142 Ridge Oak Street	Sallyann	5	3	ping-pong	2019-03-13	https://i.ytimg.com/vi/VYYKzTpWSAg/maxresdefault.jpg	1.2	12	1
828	Florida	4 Russell Place	Christa	8	4	gym	2018-10-10	http://1.bp.blogspot.com/-tZRkWmWSrCc/UZTE7b6_hBI/AAAAAAAADKY/mb6Yy8hGiSI/s1600/9.jpg	0.6	12	1
586	Nevada	879 Golf View Way	Francesca	3	4	pool	2018-08-10	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	0.3	15	1
177	Missouri	1 Dapin Pass	Pattie	7	3	parking	2018-09-09	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	0.0	18	1
127	Connecticut	47 Tomscot Way	Colet	6	3	terrace	2018-09-08	https://dp5zphk8udxg9.cloudfront.net/wp-content/uploads/2016/08/dreamstime_s_66458532.jpg	0.0	6	1
392	Massachusetts	00 Messerschmidt Court	Grant	3	3	garden	2018-11-30	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	0.7	31	1
466	Texas	1202 Fulton Parkway	Trudie	6	3	billiards	2019-02-20	http://cdn.home-designing.com/wp-content/uploads/2015/10/wood-paneling-apartment.jpg	1.5	22	1
793	District of Columbia	1 8th Trail	Addison	3	4	roof	2019-01-12	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	0.3	12	1
762	New York	028 Summer Ridge Way	Barnie	7	4	roof	2019-06-13	https://homefieldbrewing.com/wp-content/uploads/2018/05/exposed-brick-chimney-breast-decorating-wall-inspiration-interior-in-master-splendids-with-walls.jpg	0.6	18	1
230	California	98781 Upham Circle	Pamella	8	2	ping-pong	2019-06-10	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	1.6	17	1
935	Minnesota	799 Arizona Hill	Edin	8	4	gym	2019-06-03	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	0.5	21	1
439	Tennessee	41850 Milwaukee Drive	Emmett	1	4	patio	2018-07-17	https://i.ytimg.com/vi/VYYKzTpWSAg/maxresdefault.jpg	1.7	3	1
731	New York	7 Kennedy Crossing	Randy	4	3	terrace	2018-07-18	https://homefieldbrewing.com/wp-content/uploads/2018/05/exposed-brick-chimney-breast-decorating-wall-inspiration-interior-in-master-splendids-with-walls.jpg	0.3	27	1
618	California	21 Westridge Avenue	Alana	3	1	pool	2018-09-17	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	0.7	10	1
493	Texas	6242 Hansons Avenue	Keven	1	3	parking	2018-07-23	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	1.6	17	1
731	North Carolina	73569 Autumn Leaf Trail	Shaylynn	5	1	pool	2019-06-12	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	0.8	4	1
729	Pennsylvania	2197 Grasskamp Circle	Devy	5	4	ping-pong	2019-03-17	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	1.1	3	1
249	Ohio	99669 Huxley Place	Fraze	4	3	parking	2018-11-13	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	0.5	9	1
188	Texas	15 Armistice Pass	Michail	1	3	billiards	2019-03-18	http://cdn.home-designing.com/wp-content/uploads/2015/10/wood-paneling-apartment.jpg	0.4	4	1
897	Washington	22238 5th Point	Blithe	7	2	gym	2019-03-22	https://i.ytimg.com/vi/VYYKzTpWSAg/maxresdefault.jpg	0.9	31	1
538	West Virginia	181 Dovetail Crossing	Renell	1	1	terrace	2019-03-27	https://dp5zphk8udxg9.cloudfront.net/wp-content/uploads/2016/08/dreamstime_s_66458532.jpg	1.3	10	1
168	Florida	0317 Packers Pass	Wilhelmina	2	1	gym	2019-06-05	http://1.bp.blogspot.com/-tZRkWmWSrCc/UZTE7b6_hBI/AAAAAAAADKY/mb6Yy8hGiSI/s1600/9.jpg	0.3	5	1
755	Washington	8 Kropf Pass	Bink	1	2	roof	2019-01-10	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	1.8	7	1
595	New York	0845 Debra Junction	Cullen	6	4	parking	2019-02-15	http://team300.club/wp-content/uploads/2017/09/ikea-apartment-living-room-ideas-studio-living-room-idea-with-brown-fur-rug-design-modern-studio-apartment-living-room-theater-fau.jpg	0.9	27	1
138	Missouri	7478 Schlimgen Street	Elsinore	3	3	terrace	2019-07-06	https://i.ytimg.com/vi/VYYKzTpWSAg/maxresdefault.jpg	1.5	22	1
555	California	91311 Mesta Terrace	Gardner	2	3	ping-pong	2018-12-11	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	0.6	29	1
632	Arkansas	870 Jenna Crossing	Ellen	6	2	garden	2018-11-28	https://cdn.freshome.com/wp-content/uploads/2018/02/studio-intro.jpg	0.1	25	1
761	Ohio	60 American Ash Pass	Sammy	2	4	billiards	2018-12-08	http://team300.club/wp-content/uploads/2017/09/ikea-apartment-living-room-ideas-studio-living-room-idea-with-brown-fur-rug-design-modern-studio-apartment-living-room-theater-fau.jpg	1.7	31	1
298	New Mexico	008 Coleman Terrace	Tristam	7	4	garden	2018-09-18	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	0.9	22	1
188	Georgia	770 Dayton Plaza	Giovanna	4	4	gym	2019-05-25	https://homefieldbrewing.com/wp-content/uploads/2018/05/exposed-brick-chimney-breast-decorating-wall-inspiration-interior-in-master-splendids-with-walls.jpg	0.4	3	1
640	Texas	6 Pennsylvania Place	Dulsea	4	4	patio	2018-08-27	http://1.bp.blogspot.com/-tZRkWmWSrCc/UZTE7b6_hBI/AAAAAAAADKY/mb6Yy8hGiSI/s1600/9.jpg	0.5	24	1
645	Colorado	00746 Sage Street	Erminia	5	2	parking	2019-06-28	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	0.5	12	1
481	Minnesota	0883 Orin Crossing	Regan	4	4	terrace	2018-12-27	https://i.ytimg.com/vi/VYYKzTpWSAg/maxresdefault.jpg	0.3	12	1
573	Texas	76 Barnett Terrace	Selle	7	3	ping-pong	2019-06-24	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	0.7	26	1
865	Texas	32 David Court	Jeannette	8	4	gym	2018-11-24	https://blog.modsy.com/wp-content/uploads/2018/01/V1_a.jpg	0.2	18	1
84	Mississippi	7 Forest Way	Erhard	7	1	ping-pong	2018-11-23	http://topinterior.site/wp-content/uploads/2017/11/Studio-Apartments-For-Lease.jpg	1.2	1	1
900	California	76 Monica Crossing	Genni	4	2	pool	2019-04-22	https://homefieldbrewing.com/wp-content/uploads/2018/05/exposed-brick-chimney-breast-decorating-wall-inspiration-interior-in-master-splendids-with-walls.jpg	0.6	16	1
460	Missouri	0 Towne Circle	Price	8	1	roof	2018-10-25	http://team300.club/wp-content/uploads/2017/09/ikea-apartment-living-room-ideas-studio-living-room-idea-with-brown-fur-rug-design-modern-studio-apartment-living-room-theater-fau.jpg	1.4	28	1
